Descrição do Alimento;Energia(kcal);Proteína(g);Lipídeos(g);Carboidrato(g)
Carne, bovina, lagarto, cru;134,86;20,54;5,23;0
Carne, bovina, língua, cozida;314,9;21,37;24,8;0
Carne, bovina, língua, crua;215,25;17,09;15,77;0
Carne, bovina, maminha, crua;152,77;20,93;7,03;0
Carne, bovina, maminha, grelhada;153,09;30,74;2,42;0
Carne, bovina, miolo de alcatra, sem gordura, cru;162,87;21,61;7,83;0
Carne, bovina, miolo de alcatra, sem gordura, grelhado;241,36;31,93;11,64;0
Carne, bovina, músculo, sem gordura, cozido;193,8;31,23;6,7;0
Carne, bovina, músculo, sem gordura, cru;141,58;21,56;5,49;0
Carne, bovina, paleta, com gordura, crua;158,71;21,41;7,46;0
Carne, bovina, paleta, sem gordura, cozida;193,65;29,72;7,4;0
Carne, bovina, paleta, sem gordura, crua;140,94;21,03;5,67;0
Carne, bovina, patinho, sem gordura, cru;133,47;21,72;4,51;0
Carne, bovina, patinho, sem gordura, grelhado;219,26;35,9;7,31;0
Carne, bovina, peito, sem gordura, cozido;338,47;22,25;26,99;0
Carne, bovina, peito, sem gordura, cru;259,28;17,56;20,43;0
Carne, bovina, picanha, com gordura, crua;212,88;18,82;14,69;0
Carne, bovina, picanha, com gordura, grelhada;288,77;26,42;19,51;0
Carne, bovina, picanha, sem gordura, crua;133,52;21,25;4,74;0
Carne, bovina, picanha, sem gordura, grelhada;238,47;31,91;11,33;0
Carne, bovina, seca, cozida;312,8;26,93;21,93;0
Carne, bovina, seca, crua;312,75;19,66;25,37;0
Coxinha de frango, frita;283,05;9,61;11,84;34,52
Croquete, de carne, cru;245,77;12,04;15,56;13,95
Croquete, de carne, frito;346,74;16,86;22,67;18,15
Empada de frango, pré-cozida, assada;358,19;6,94;15,61;47,49
Empada, de frango, pré-cozida;377,48;7,34;22,89;35,53
Frango, asa, com pele, crua;213,19;18,1;15,07;0
Frango, caipira, inteiro, com pele, cozido;242,89;23,88;15,62;0
Frango, caipira, inteiro, sem pele, cozido;195,76;29,58;7,7;0
Frango, coração, cru;221,5;12,58;18,6;0
Frango, coração, grelhado;207,27;22,44;12,1;0,61
Frango, coxa, com pele, assada;215,12;28,49;10,36;0,06
Frango, coxa, com pele, crua;161,47;17,09;9,81;0
Frango, coxa, sem pele, cozida;167,43;26,86;5,85;0
Frango, coxa, sem pele, crua;119,95;17,81;4,86;0,02
Frango, fígado, cru;106,48;17,59;3,49;-0,02
Frango, filé, à milanesa;220,87;28,46;7,79;7,51
Frango, inteiro, com pele, cru;226,32;16,44;17,31;0
Frango, inteiro, sem pele, assado;187,34;28,03;7,5;0
Frango, inteiro, sem pele, cozido;170,39;24,99;7,06;0
Frango, inteiro, sem pele, cru;129,1;20,59;4,57;0
Frango, peito, com pele, assado;211,68;33,42;7,65;0
Frango, peito, com pele, cru;149,47;20,78;6,73;0
Frango, peito, sem pele, cozido;162,87;31,47;3,16;0
Frango, peito, sem pele, cru;119,16;21,53;3,02;0
Frango, peito, sem pele, grelhado;159,19;32,03;2,48;0
Frango, sobrecoxa, com pele, assada;259,6;28,7;15,19;0
Frango, sobrecoxa, com pele, crua;254,53;15,46;20,9;0
Frango, sobrecoxa, sem pele, assada;232,88;29,18;12,01;0
Frango, sobrecoxa, sem pele, crua;161,8;17,57;9,62;0
Hambúrguer, bovino, cru;214,84;13,16;16,18;4,15
Hambúrguer, bovino, frito;258,28;19,97;17,01;6,32
Hambúrguer, bovino, grelhado;209,83;13,16;12,43;11,33
Lingüiça, frango, crua;218,11;14,24;17,44;0
Lingüiça, frango, frita;245,46;18,32;18,54;0
Lingüiça, frango, grelhada;243,66;18,19;18,4;0
Lingüiça, porco, crua;227,2;16,06;17,58;0
Lingüiça, porco, frita;279,54;20,45;21,31;0
Lingüiça, porco, grelhada;296,49;23,17;21,9;0
Mortadela;268,82;11,95;21,65;5,82
Peru, congelado, assado;163,07;26,2;5,68;0
Peru, congelado, cru;93,72;18,08;1,83;0
Porco, bisteca, crua;164,12;21,5;8,02;0
Porco, bisteca, frita;311,17;33,75;18,52;0
Porco, bisteca, grelhada;280,08;28,89;17,38;0
Porco, costela, assada;402,17;30,22;30,28;0
Porco, costela, crua;255,61;18;19,82;0
Porco, lombo, assado;210,23;35,73;6,4;0
Porco, lombo, cru;175,63;22,6;8,77;0
Porco, orelha, salgada, crua;258,49;18,52;19,89;0
Porco, pernil, assado;262,26;32,13;13,86;0
Porco, pernil, cru;186,06;20,13;11,1;0
Porco, rabo, salgado, cru;377,42;15,58;34,47;0
Presunto, com capa de gordura;127,85;14,37;6,77;1,4
Presunto, sem capa de gordura;93,74;14,29;2,71;2,15
Quibe, assado;136,23;14,59;2,68;12,86
Quibe, cru;109,49;12,35;1,67;10,77
Quibe, frito;253,83;14,89;15,8;12,34
Salame;397,84;25,81;30,64;2,91
Toucinho, cru;592,53;11,48;60,26;0
Toucinho, frito;696,56;27,28;64,31;0
Bebida láctea, pêssego;55,16;2,13;1,91;7,57
Creme de Leite;221,48;1,51;22,48;4,51
Iogurte, natural;51,49;4,06;3,04;1,92
Iogurte, natural, desnatado;41,49;3,83;0,32;5,77
Iogurte, sabor abacaxi;*;*;*;*
Iogurte, sabor morango;69,57;2,71;2,33;9,69
Iogurte, sabor pêssego;67,85;2,53;2,34;9,43
Leite, condensado;312,57;7,67;6,74;57
Leite, de cabra;66,42;3,07;3,75;5,25
Leite, de vaca, achocolatado;82,82;2,1;2,17;14,16
Leite, de vaca, desnatado, pó;361,61;34,69;0,93;53,04
Leite, de vaca, desnatado, UHT;*;*;*;*
Leite, de vaca, integral;*;*;*;*
Leite, de vaca, integral, pó;496,65;25,42;26,9;39,18
Leite, fermentado;69,62;1,89;0,1;15,67
Queijo, minas, frescal;264,27;17,41;20,18;3,24
Queijo, minas, meia cura;320,72;21,21;24,61;3,57
Queijo, mozarela;329,87;22,65;25,18;3,05
Queijo, parmesão;452,96;35,55;33,53;1,66
Queijo, pasteurizado;303,08;9,36;27,44;5,68
Queijo, petit suisse, morango;121,11;5,79;2,84;18,46
Queijo, prato;359,88;22,66;29,11;1,88
Queijo, requeijão, cremoso;256,58;9,63;23,44;2,43
Queijo, ricota;139,73;12,6;8,11;3,79
Bebida isotônica, sabores variados;25,61;0;0;6,4
Café, infusão 10%;9,07;0,71;0,07;1,48
Cana, aguardente 1;215,66;0;0;0
Cana, caldo de;65,34;0;0;18,15
Cerveja, pilsen 2;40,72;0,56;0;3,32
Chá, erva-doce, infusão 5%;1,4;0;0;0,39
Chá, mate, infusão 5%;2,73;0;0,05;0,64
Chá, preto, infusão 5%;2,25;0;0;0,63
Coco, água de;21,51;0;0;5,28
Refrigerante, tipo água tônica;30,78;0;0;7,95
Refrigerante, tipo cola;33,51;0;0;8,66
Refrigerante, tipo guaraná;38,7;0;0;10
Refrigerante, tipo laranja;45,63;0;0;11,79
Refrigerante, tipo limão;39,72;0;0;10,26
Omelete, de queijo;268,01;15,57;22,01;0,44
Ovo, de codorna, inteiro, cru;176,89;13,69;12,68;0,77
Ovo, de galinha, clara, cozida/10minutos;59,44;13,45;0,09;0
Ovo, de galinha, gema, cozida/10minutos;352,67;15,9;30,78;1,56
Ovo, de galinha, inteiro, cozido/10minutos;145,7;13,29;9,48;0,61
