nome,proteina,carbo,gordura,calorias,fonte
"Bacalhau, salgado, refogado",23.979166666666664,1.2241666666666786,3.606666666666667,139.66070105353995,TACO
"Cação, posta, com farinha de trigo, frita",24.952083333333334,3.100583333333332,9.954333333333333,208.33274372597532,TACO
"Cação, posta, cozida",25.589583333333326,0.0,0.7479999999999999,116.01448068765795,TACO
"Cação, posta, crua",17.854166666666668,0.0,0.7866666666666666,83.33302501956622,TACO
"Camarão, Rio Grande, grande, cozido",18.966666666666665,0.0,1.0006666666666666,90.01368009630838,TACO
"Camarão, Rio Grande, grande, cru",9.991666666666667,0.0,0.501,47.18343670543035,TACO
"Camarão, Sete Barbas, sem cabeça, com casca, frito",18.3875,2.8798333333333326,15.620333333333333,231.24615385087333,TACO
"Caranguejo, cozido",18.479166666666668,0.0,0.423,82.72150150783858,TACO
"Corimba, cru",17.366666666666667,-0.026666666666666172,5.986666666666667,128.1554,TACO
"Corimbatá, assado",19.897916666666667,0.0,19.566333333333333,261.45243941056725,TACO
"Corimbatá, cozido",20.13125,0.0,16.933000000000003,238.69610486733916,TACO
"Corvina de água doce, crua",18.916666666666668,0.0,2.2433333333333336,101.00903333333332,TACO
"Corvina do mar, crua",18.57,0.0,1.5833333333333333,94.0,TACO
"Corvina grande, assada",26.766666666666666,0.0,3.5736666666666665,146.52814112536112,TACO
"Corvina grande, cozida",23.4375,0.0,2.5626666666666664,100.07812455296516,TACO
"Dourada de água doce, fresca",18.810416666666665,0.0,5.641666666666667,131.2083147237698,TACO
"Lambari, congelado, cru",16.8125,0.0,6.546666666666667,130.84031100948653,TACO
"Lambari, congelado, frito",28.425,0.0,22.782,326.86839988660813,TACO
"Lambari, fresco, cru",15.652083333333334,0.0,9.397333333333334,151.598346503218,TACO
"Manjuba, com farinha de trigo, frita",23.45,10.24033333333333,22.593,343.55045872306823,TACO
"Manjuba, frita",30.13958333333333,0.0,24.46,349.32523145536584,TACO
"Merluza, filé, assado",26.604166666666668,0.0,0.9213333333333334,121.91021833333333,TACO
"Merluza, filé, cru",16.606666666666666,0.0,2.02,89.13086666666665,TACO
"Merluza, filé, frito",26.929166666666664,0.0,8.496666666666668,191.62747837583225,TACO
"Pescada, branca, crua",16.263333333333332,0.0,4.593333333333334,110.87629999999999,TACO
"Pescada, branca, frita",27.35625,0.0,11.777000000000001,223.0397323693037,TACO
"Pescada, filé, com farinha de trigo, frito",21.435416666666665,5.033250000000005,19.115,283.4252144319614,TACO
"Pescada, filé, cru",16.65,0.0,4.003333333333334,107.20556666666666,TACO
"Pescada, filé, frito",28.5875,0.0,3.57,154.270025,TACO
"Pescada, filé, molho escabeche",11.75,5.0153333333333405,8.024,141.9583228750229,TACO
"Pescadinha, crua",15.47916666666667,0.0,1.1433333333333333,76.40890833333334,TACO
"Pintado, assado",36.45,0.0,3.9820000000000007,191.55914112758637,TACO
"Pintado, cru",18.55666666666667,0.0,1.3133333333333335,91.08323333333333,TACO
"Pintado, grelhado",30.795833333333334,0.0,2.294,152.19008833333334,TACO
"Porquinho, cru",20.49,0.0,0.6133333333333333,93.02456666666666,TACO
"Salmão, filé, com pele, fresco,  grelhado",23.91875,0.0,14.035333333333334,228.73177513531843,TACO
"Salmão, sem pele, fresco, cru",19.252083333333335,0.0,9.708999999999998,169.78157991055645,TACO
"Salmão, sem pele, fresco, grelhado",26.14166666666667,0.0,14.532333333333334,242.7065694870949,TACO
"Sardinha, assada",32.17916666666667,0.0,2.9873333333333334,164.3507883333333,TACO
"Sardinha, conserva em óleo",15.939583333333335,0.0,24.048666666666666,284.9810048712492,TACO
"Sardinha, frita",33.38333333333334,0.0,12.693333333333333,257.0407,TACO
"Sardinha, inteira, crua",21.076666666666668,0.0,2.65,113.90036666666666,TACO
"Tucunaré, filé, congelado, cru",17.958333333333336,-0.04500000000000792,1.22,87.686483549277,TACO
Apresuntado,13.45,2.862000000000004,6.690666666666666,128.85725581200919,TACO
"Caldo de carne, tablete",7.82,15.053333333333342,16.57,240.62333333333333,TACO
"Caldo de galinha, tablete",6.279166666666666,10.645499999999991,20.416333333333334,251.44566666666665,TACO
"Carne, bovina, acém, moído, cozido",26.68666666666667,0.0,10.916666666666666,212.42039999999997,TACO
"Carne, bovina, acém, moído, cru",19.42,0.0,5.946666666666666,136.56233333333333,TACO
"Carne, bovina, acém, sem gordura, cozido",27.27,0.0,10.883333333333333,214.61056666666664,TACO
"Carne, bovina, acém, sem gordura, cru",20.816666666666666,0.0,6.113333333333333,144.02943333333332,TACO
"Carne, bovina, almôndegas, cruas",12.3125,9.794166666666655,11.203333333333333,189.2566666666666,TACO
"Carne, bovina, almôndegas, fritas",18.15625,14.286749999999996,15.782333333333334,271.813,TACO
